Incident Type,Creation Date,Response Time,Incident Number
Structural-Stability Problem,2016-05-14,111,11
Structural-Scaffold,2016-05-14,353,3
Structural-Scaffold,2016-05-16,899,3
Structural-Scaffold,2016-05-19,362,3
Structural-Other,2016-05-19,3120,8
Structural-Scaffold,2016-05-20,220,3
Structural-Scaffold,2016-05-23,1436,3
Structural-Scaffold,2016-05-25,60,3
Structural-Sidewalk Shed,2016-05-26,462,9
Structural-Other,2016-05-30,1099,8
Structural-Other,2016-05-30,1452,8
Structural-Stability Problem,2016-05-31,405,11
Structural-Other,2016-06-02,97,8
Structural-Stability Problem,2016-06-04,38,11
Structural-Collapse,2016-06-05,91,5
Structural-Sidewalk Shed,2016-06-05,396,9
Structural-Falling Debris,2016-06-05,168,10
Structural-Falling Debris,2016-06-06,56,10
Structural-Scaffold,2016-06-07,56,3
Structural-Other,2016-06-07,434,8
Structural-Collapse,2016-06-09,423,5
Structural-Street Collapse,2016-06-11,150,7
Structural-Scaffold,2016-06-11,32,3
Structural-Crane,2016-06-13,104,13
Structural-Scaffold,2016-06-14,298,3
Structural-Other,2016-06-14,57,8
Structural-Scaffold,2016-06-14,25,3
Structural-Construction Accident,2016-06-15,125,1
Structural-Construction Accident,2016-06-21,9,1
Structural-Collapse,2016-06-22,1209,5
Structural-Bricks,2016-06-24,197,4
Structural-Partial Collapse,2016-06-28,193,12
Structural-Collapse,2016-07-01,14,5
Structural-Partial Collapse,2016-07-01,3,12
Structural-Scaffold,2016-07-04,179,3
Structural-Bricks,2016-07-06,168,4
Structural-Crane,2016-07-07,157,13
Structural-Partial Collapse,2016-07-18,288,12
Structural-Scaffold,2016-07-18,101,3
Structural-Stability Problem,2016-07-28,126,11
Structural-Other,2016-07-28,964,8
Structural-Life Safety Violations,2016-07-30,2421,6
Structural-Life Safety Violations,2016-08-04,200,6
Structural-Construction Accident,2016-08-09,69,1
Structural-Stability Problem,2016-08-10,243,11
Structural-Other,2016-08-11,554,8
Structural-Crane,2016-08-11,117,13
Structural-Collapse,2016-08-13,701,5
Structural-Scaffold,2016-08-16,221,3
Structural-Construction Accident,2016-08-17,200,1
Structural-Stability Problem,2016-08-29,150,11
Structural-Stability Problem,2016-08-29,901,11
Structural-Construction Accident,2016-09-01,2235,1
Structural-Other,2016-09-02,399,8
Structural-Scaffold,2016-09-03,261,3
Structural-Construction Accident,2016-09-08,440,1
Structural-Partial Collapse,2016-09-09,138,12
Structural-Construction Accident,2016-09-13,28,1
Structural-Construction Accident,2016-09-15,88,1
Structural-Crane,2016-09-16,3434,13
Structural-Collapse,2016-09-22,104,5
Structural-Construction Accident,2016-09-24,920,1
Structural-Other,2016-09-25,582,8
Structural-Partial Collapse,2016-09-27,517,12
Structural-Life Safety Violations,2016-10-03,1637,6
Structural-Life Safety Violations,2016-10-03,2990,6
Structural-Collapse,2016-10-12,2,5
Structural-Scaffold,2016-10-18,622,3
Structural-Scaffold,2016-10-20,73,3
Structural-Other,2016-10-23,159,8
Structural-Collapse,2016-10-24,143,5
Structural-Confined Space,2016-10-26,116,2
Structural-Construction Accident,2016-11-10,27,1
Structural-Bricks,2016-11-13,380,4
Structural-Construction Accident,2016-11-14,35,1
Structural-Collapse,2016-11-15,22,5
Structural-Falling Debris,2016-11-20,44,10
Structural-Collapse,2016-11-28,2958,5
Structural-Sidewalk Shed,2016-11-29,88,9
Structural-Construction Accident,2016-12-01,586,1
Structural-Other,2016-12-01,209,8
Structural-Crane,2016-12-03,213,13
Structural-Partial Collapse,2016-12-07,108,12
Structural-Construction Accident,2016-12-08,33,1
Structural-Crane,2016-12-08,2326,13
Structural-Crane,2016-12-09,3791,13
Structural-Collapse,2016-12-09,502,5
Structural-Life Safety Violations,2016-12-16,202,6
Structural-Bricks,2016-12-18,453,4
Structural-Life Safety Violations,2016-12-19,318,6
Structural-Falling Debris,2016-12-22,59,10
Structural-Construction Accident,2016-12-23,844,1
Structural-Street Collapse,2017-01-03,835,7
Structural-Confined Space,2017-01-10,50,2
Structural-Other,2017-01-12,563,8
Structural-Street Collapse,2017-01-19,114,7
Structural-Other,2017-02-01,169,8
Structural-Falling Debris,2017-02-10,14,10
Structural-Other,2017-02-13,279,8
Structural-Falling Debris,2017-02-13,780,10
Structural-Collapse,2017-02-13,117,5
Structural-Other,2017-02-17,56,8
Structural-Other,2017-02-22,64,8
Structural-Other,2017-03-06,44,8
Structural-Falling Debris,2017-03-17,373,10
Structural-Street Collapse,2017-03-19,793,7
Structural-Stability Problem,2017-03-22,474,11
Structural-Construction Accident,2017-03-22,296,1
Structural-Stability Problem,2017-03-23,161,11
Structural-Falling Debris,2017-03-29,103,10
Structural-Street Collapse,2017-03-30,1014,7
Structural-Life Safety Violations,2017-04-04,61,6
Structural-Crane,2017-04-21,1250,13
Structural-Falling Debris,2017-04-25,40,10
Structural-Partial Collapse,2017-05-05,283,12
Structural-Other,2017-05-06,130,8
Structural-Construction Accident,2017-05-11,144,1
Structural-Other,2017-05-16,1292,8
Structural-Confined Space,2017-05-17,45,2
Structural-Falling Debris,2017-05-18,1345,10
Structural-Other,2017-05-19,109,8
Structural-Stability Problem,2017-05-19,105,11
Structural-Construction Accident,2017-05-30,332,1
Structural-Confined Space,2017-06-06,451,2
Structural-Street Collapse,2017-06-10,1463,7
Structural-Scaffold,2017-06-16,242,3
Structural-Construction Accident,2017-06-20,2439,1
Structural-Partial Collapse,2017-06-22,319,12
Structural-Other,2017-06-22,59,8
